2026-05-01 14:18:13,728 - INFO - Method: GET | Path: /frontend/style.css | Status: 304 | IP: 127.0.0.1
2026-05-01 14:18:13,943 - INFO - Method: GET | Path: /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | IP: 127.0.0.1
2026-05-01 14:18:14,048 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-05-01 14:18:14,078 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-05-01 14:18:18,660 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-05-01 14:18:18,685 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-05-01 14:18:18,923 - INFO - Method: GET | Path: /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | IP: 127.0.0.1
2026-05-01 14:19:52,734 - INFO - Method: GET | Path: /frontend/index.html | Status: 304 | IP: 127.0.0.1
2026-05-01 14:19:53,107 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-05-01 14:19:53,193 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-05-01 14:20:34,232 - INFO - Method: GET | Path: / | Status: 307 | IP: 127.0.0.1
2026-05-01 14:20:34,777 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-05-01 14:20:34,799 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-05-01 14:20:47,863 - INFO - Method: OPTIONS | Path: /students | Status: 200 | IP: 127.0.0.1
2026-05-01 14:20:47,881 - INFO - Method: POST | Path: /students | Status: 307 | IP: 127.0.0.1
2026-05-01 14:20:47,881 - INFO - Operation: CREAR_ESTUDIANTE | Path: /students | IP: 127.0.0.1 | Status: 307 | Datos: {"name":"andres","age":19,"grade":1}
2026-05-01 14:20:47,890 - INFO - Method: OPTIONS | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-05-01 14:20:47,951 - INFO - Method: POST | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-05-01 14:20:47,951 - INFO - Operation: CREAR_ESTUDIANTE | Path: /students/ | IP: 127.0.0.1 | Status: 200 | Datos: {"name":"andres","age":19,"grade":1}
2026-05-01 14:20:47,973 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-05-01 14:20:47,987 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-05-01 14:20:51,602 - INFO - Method: OPTIONS | Path: /students/1 | Status: 200 | IP: 127.0.0.1
2026-05-01 14:20:51,633 - INFO - Method: PUT | Path: /students/1 | Status: 200 | IP: 127.0.0.1
2026-05-01 14:20:51,633 - INFO - Operation: ACTUALIZAR_ESTUDIANTE | Path: /students/1 | IP: 127.0.0.1 | Status: 200 | Datos: {"name":"THALIA","age":20,"grade":2}
2026-05-01 14:20:51,649 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-05-01 14:20:51,680 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-05-01 14:20:56,216 - INFO - Method: PUT | Path: /students/1 | Status: 200 | IP: 127.0.0.1
2026-05-01 14:20:56,217 - INFO - Operation: ACTUALIZAR_ESTUDIANTE | Path: /students/1 | IP: 127.0.0.1 | Status: 200 | Datos: {"name":"THALIA","age":20,"grade":3}
2026-05-01 14:20:56,260 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-05-01 14:20:56,316 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-05-01 14:22:44,024 - INFO - Method: GET | Path: /frontend/index.html | Status: 304 | IP: 127.0.0.1
2026-05-01 14:22:44,498 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-05-01 14:22:44,522 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-05-01 14:22:48,141 - INFO - Method: GET | Path: /students | Status: 307 | IP: 127.0.0.1
2026-05-01 14:22:48,173 - INFO - Method: GET | Path: /students/ | Status: 200 | IP: 127.0.0.1
2026-05-01 14:23:26,358 - INFO - Method: GET | Path: / | Status: 307 | IP: 127.0.0.1
2026-05-01 14:23:26,373 - INFO - Method: GET | Path: /frontend/login.html | Status: 200 | IP: 127.0.0.1
2026-05-01 14:23:26,523 - INFO - Method: GET | Path: /frontend/login.js | Status: 200 | IP: 127.0.0.1
2026-05-01 14:23:27,122 - INFO - Method: GET | Path: / | Status: 307 | IP: 127.0.0.1
2026-05-01 14:25:47,161 - INFO - Method: GET | Path: /frontend/registro.html | Status: 200 | IP: 127.0.0.1
2026-05-01 14:25:47,250 - INFO - Method: GET | Path: /frontend/registro.js | Status: 200 | IP: 127.0.0.1
2026-05-01 14:25:47,257 - INFO - Method: GET | Path: /frontend/style.css | Status: 304 | IP: 127.0.0.1
2026-05-01 14:30:08,485 - INFO - Method: GET | Path: /frontend/registro.html | Status: 304 | IP: 127.0.0.1
2026-05-01 14:31:15,330 - INFO - Method: GET | Path: /.well-known/appspecific/com.chrome.devtools.json | Status: 404 | IP: 127.0.0.1
2026-05-01 14:32:29,664 - INFO - Method: GET | Path: / | Status: 307 | IP: 127.0.0.1
2026-05-01 14:34:53,002 - INFO - Method: GET | Path: /frontend/style.css | Status: 304 | IP: 127.0.0.1
2026-05-01 14:35:56,050 - INFO - Method: GET | Path: / | Status: 307 | IP: 127.0.0.1
2026-05-01 14:36:12,957 - INFO - Method: GET | Path: /frontend/login.html | Status: 304 | IP: 127.0.0.1
2026-05-01 14:37:43,332 - INFO - Method: GET | Path: /frontend/login.html | Status: 304 | IP: 127.0.0.1
2026-05-01 14:38:39,779 - INFO - Method: GET | Path: /frontend/login.html | Status: 304 | IP: 127.0.0.1
2026-05-01 14:39:13,908 - INFO - Method: GET | Path: /frontend/lregistro.html | Status: 404 | IP: 127.0.0.1
2026-05-01 14:39:19,349 - INFO - Method: GET | Path: /frontend/registro.html | Status: 304 | IP: 127.0.0.1
2026-05-01 14:39:19,417 - INFO - Method: GET | Path: /frontend/registro.js | Status: 304 | IP: 127.0.0.1
